"narb","Especie","dap"
1,"Roble",13.2837308411795
2,"Roble",12.5316628650631
3,"Roble",8.76331807625053
4,"Roble",12.3323947624819
5,"Roble",10.5555567451326
6,"Roble",12.0778565811601
7,"Roble",15.6559228094402
8,"Roble",16.7883770237563
9,"Roble",14.7572297080241
10,"Roble",13.8868027225782
11,"Roble",11.673528982615
12,"Roble",17.4711599069827
13,"Roble",13.8583816705852
14,"Roble",18.2667672348614
15,"Roble",15.599215705708
16,"Roble",17.3495508031229
17,"Roble",8.83867981969697
18,"Roble",12.8610741943292
19,"Roble",13.0666732164869
20,"Roble",16.7021263658396
21,"Roble",21.1091135950895
22,"Roble",11.0925993212747
23,"Roble",8.60565406915752
24,"Roble",11.3865291659669
25,"Roble",19.0494322970967
26,"Roble",18.6929630177159
27,"Roble",15.1200337794728
28,"Roble",12.0558014972805
29,"Roble",15.6655388142352
30,"Roble",7.16426801732013
31,"Roble",18.2879956709463
32,"Roble",12.4975698297798
33,"Roble",10.5079634843247
34,"Roble",19.9020621878476
35,"Roble",10.9301424364129
36,"Roble",10.152814665025
37,"Roble",13.5444415361014
38,"Roble",17.6601141464876
39,"Roble",12.4752079949317
40,"Roble",11.1973462413352
41,"Roble",16.9612321045071
42,"Roble",14.3889856603756
43,"Roble",13.0932458232984
44,"Roble",9.19469408364473
45,"Roble",7.96340598191769
46,"Roble",21.5430754615677
47,"Roble",9.64262497651029
48,"Roble",14.2386371793485
49,"Roble",16.0446658935077
50,"Roble",18.2351575946729
51,"Laurel",14.7194507558381
52,"Laurel",15.9578838922585
53,"Laurel",15.9610506973616
54,"Laurel",8.91168453849435
55,"Laurel",10.8671815989764
56,"Laurel",13.88612723591
57,"Laurel",14.4066676005509
58,"Laurel",11.2737862088898
59,"Laurel",10.9458607418444
60,"Laurel",14.071071091753
61,"Laurel",12.5149722733679
62,"Laurel",14.4310220979999
63,"Laurel",14.8922007463255
64,"Laurel",15.0988050593899
65,"Laurel",11.3600446681126
66,"Laurel",13.6425212069978
67,"Laurel",11.9413052214639
68,"Laurel",11.2156054106707
69,"Laurel",14.070624043778
70,"Laurel",19.7813725163482
71,"Avellano",9.39469337601957
72,"Avellano",10.3816026824131
73,"Avellano",10.8421059849294
74,"Avellano",8.00997831930729
75,"Avellano",9.69619270302448
